SMILES String,Solubility ALOGPS,Drug Name,Drug Subcategory,Drug Subcategory Updated,
N[C@@H](CS[AsH]O)C(O)=O,33.7,Thiarsahydroxy-Cysteine,others, Antioxidants,
CC1=CC=C(C=C1)C1=NN(C2=C1C(N)=NC=N2)C(C)(C)C,0.0953,"1-Ter-Butyl-3-P-Tolyl-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine",others, Enzyme Inhibitors,
[H][C@@](C)(NC(=O)[C@@]([H])(CC1=CC=CC=C1)NC(=O)OCC1=CC=CC=C1)\C=C\C(=O)C=O,0.0017,"[1-(1-Methyl-4,5-Dioxo-Pent-2-Enylcarbamoyl)-2-Phenyl-Ethyl]-Carbamic Acid Benzyl Ester",others, Enzyme Inhibitors,
NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H](COP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H]1O,3.33,Adenosine-3'-5'-Diphosphate,others, Antiplatelet Agents,
CC1=[NH+]C=C(COP(O)(O)=O)C(CN[C@H](CCC(O)=O)C(O)=O)=C1O,0.257,Pyridoxyl-Glutamic Acid-5'-Monophosphate,others, Vitamins,
CCCCCCCCCCCC[C@H](CC(O)=O)OC(=O)CCCCCCCCCCCC,2.97E-05,2-Tridecanoyloxy-Pentadecanoic Acid,others, Fatty Acids,
N[C@@H](CCCCNC(C(O)=O)C(O)=O)C(O)=O,6.37,Nz-(Dicarboxymethyl)Lysine,others, Biomolecules,
O[C@H]1CCN2C[C@H](O)[C@@H](O)[C@H](O)[C@H]12,1110,"(1s,6s,7r,8r,8ar)-1,6,7,8-Tetrahydroxyindolizidine",others, Alkaloids,
C[C@H](O[C@H](O)C[C@H](N)C(O)=O)[C@@H](N)C(O)=O,28.1,Threonine-Aspartic Ester,others, Amino Acids,
OC[C@@H]1O[C@H](O)[C@@H](O)[C@H](OS(O)(=O)=O)[C@H]1O,104,O3-Sulfonylgalactose,others, Sugars,
OC(=O)C(=C)OP(O)(O)=O,13.2,Phosphoenolpyruvate,others, Organic Phosphates,
CCCCCNC(=O)[C@@H](CC1=CC=C(N(C(=O)C(O)=O)C2=CC=CC=C2C(O)=O)C2=C1C=CC=C2)NC(C)=O,0.000812,"Compound 12, N-Acetyl-4-[(Carboxycarbonyl)(2-Carboxyphenyl)Amino]-N-Pentyl-1-Napthylalaniamide",others, Enzyme Inhibitors,
NCC[C@@H](NC(=O)[C@@H](N)CCCNC(=N)N[N+]([O-])=O)C(N)=O,0.256,"L-N(Omega)-Nitroarginine-2,4-L-Diaminobutyric Amide",Amide Local Anesthetic,Amide Local Anesthetic,
O[C@H]1CSSC[C@@H]1O,70.5,Dithiane Diol,others, Organic Sulfur Compounds,
OC[C@H]1O[C@]2(NC(=O)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O,230,Beta-D-Glucopyranose Spirohydantoin,others, Carbohydrates,
N[C@@H](O)O[C@H]1CC2=CC=CC=C2C1[C@H]1CN[C@](C[C@@H](O)[C@@H](CC2=CC=CC=C2)NC(=O)O[C@@H]2CCOC2)(CC2=CC=CC=C2)C1=O,0.00753,"(3s)-Tetrahydrofuran-3-Yl (1r,2s)-3-[4-((1r)-2-{[(S)-Amino(Hydroxy)Methyl]Oxy}-2,3-Dihydro-1h-Inden-1-Yl)-2-Benzyl-3-Oxopyrrolidin-2-Yl]-1-Benzyl-2-Hydroxypropylcarbamate",others, Enzyme Inhibitors,
CC1=CC=CC2=C1NC(N)=NC2=O,1.12,2-Amino-8-Methylquinazolin-4(3h)-One,others, Heterocyclic Compounds,
CCCC[N+]#[C-],0.5,N-Butyl Isocyanide,others, Organic Nitrogen Compounds,
COC1=C(F)C(F)=C(C(N)=O)C(F)=C1F,0.309,"2,3,5,6-Tetrafluoro-4-Methoxy-Benzamide",Amide Local Anesthetic,Amide Local Anesthetic,
CN,367,Methylamine,others, Organic Nitrogen Compounds,
CCNC(=O)CCNC(=O)[C@@H](O)C(C)(C)CO[P@](O)(=O)O[P@@](O)(=O)OC[C@@H]1O[C@H]([C@H](O)[C@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,4.61,Desulfo-Coenzyme A,others, Biomolecules,
CC(=O)N[C@@H](CC1=CC=C(C(=C1)P(O)(O)=O)P(O)(O)=O)C(=O)N[C@@H]1CCCCC2=CC(OCC3CCCCC3)=C(C=C12)C(N)=O,0.0101,"{4-[2-Acetylamino-2-(3-Carbamoyl-2-Cyclohexylmethoxy-6,7,8,9-Tetrahydro-5h-Benzocyclohepten-5ylcarbamoyl)-Ethyl]-2-Phosphono-Phenyl}-Phosphonic Acid",others, Enzyme Inhibitors,
N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=CN=C12,1.11,Tryptophanyl-5'amp,others,others,
C[P@@](O)(=O)CC(=O)CC(O)=O,29.9,4-[Hydroxy-[Methyl-Phosphinoyl]]-3-Oxo-Butanoic Acid,others, Organic compounds,
N[C@@H](CCONC(N)=N)C(O)=O,2.77,L-2-Amino-4-(Guanidinooxy)Butyric Acid,others, Amino acid derivatives,
N[C@@H](CCC(=O)N[C@H](CS[C@H]1[C@H](O)C2=CC=CC=C2C2=CC=CC=C12)C(=O)NCC(O)=O)C(O)=O,0.031,"(9r,10r)-9-(S-Glutathionyl)-10-Hydroxy-9,10-Dihydrophenanthrene",Muscle Relaxant,Muscle Relaxant,
CC(=N)NCC[C@@H](F)C[C@H](N)C(O)=O,0.442,4r-Fluoro-N6-Ethanimidoyl-L-Lysine,others, Amino acid derivatives,
ClC1=CC=C2C=C(C=CC2=C1)S(=O)(=O)N1CCN(CC1)C(=O)C1CCN(CC1)C1=CC=NC=C1,0.0343,"[4-(6-Chloro-Naphthalene-2-Sulfonyl)-Piperazin-1-Yl]-(3,4,5,6-Tetrahydro-2h-[1,4']Bipyridinyl-4-Yl)-Methanone",others, Organic compounds,
CC(=O)OC[C@@H](N)C(O)=O,174,O-Acetylserine,others, Organic compounds,
CC1=C(OC2=CC=C(O)C=C2C1=O)C1=CC(Br)=C(O)C(Br)=C1,0.0196,"6,4'-Dihydroxy-3-Methyl-3',5'-Dibromoflavone",others, Organic compounds,
CC(O)CO,952,"1,2-Propanediol",others, Organic compounds,
OCC[C@@H](O)[C@H](O)[C@H](O)\C=C\P(O)(O)=O,21,2-Deoxy-D-Glucitol 6-(E)-Vinylhomophosphonate,others, Organic compounds,
C[C@@H]1C[C@H](O)[C@@H](O)[C@H](O)O1,904,"4,6-Dideoxyglucose",others, Organic compounds,
NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H](CO[P@](O)(=O)OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H]1O,4.61,3'-Phosphate-Adenosine-5'-Diphosphate,Barbiturate,Barbiturate,
NN1C(=O)N[C@]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O,212,"3-Amino-8,9,10-Trihydroxy-7-Hydroxymethyl-6-Oxa-1,3-Diaza-Spiro[4.5]Decane-2,4-Dione",others, Organic compounds,
CN(C)C=O,725,Dimethylformamide,others, Organic compounds,
CC(C)(CO[P@](O)(=O)O[P@@](O)(=O)OC[C@@H]1O[C@H]([C@H](O)[C@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCSO,4.91,Oxidized Coenzyme A,others, Organic compounds,
CC(C)[C@@H](NC(N)=O)C(O)=O,21.4,N-Carbamyl-D-Valine,others, Amino acid derivatives,
OC(=O)C[C@@H]([C@@H](O[Ca])C(O)=O)C(O)=O,99.3,Isocitrate Calcium Complex,others, Organic compounds,
O=C1CCNC(=O)N1,25.9,"3,4-Dihydrouracil",others, Heterocyclic compounds,
CO[C@H](CC1=CC=CC=C1)[C@H](C)\C=C(/C)\C=C\[C@@H](N)[C@H](C)C(O)=O,0.00813,"(2s,3s,8s,9s)-3-Amino-9-Methoxy-2,6,8-Trimethyl-10-Phenyldeca-4,6-Dienoic Acid",others, Amino acid derivatives,
CCCC[N+](CCCC)(CCCC)CCCC,1.14E-05,Tetrabutylammonium Ion,others, Organic compounds,
OC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O1)C=C(O)C=C2O,0.178,Kaempherol,others, Organic compounds,
CC[C@H]1[C@H](C)C2=CC3=C(C(C)=O)C(C)=C4C=C5[C@@H](C)[C@H](CCC(=O)OC\C=C(/C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C6=[N+]5[Mg]5([N+]2=C1C=C1C(C)=C2C(=O)[C@@H](C(=O)OC)C6=C2N51)N34,2.84E-05,Bacteriochlorophyll A,others, Organic compounds,
NC(=O)C1=CN=CC(Br)=C1,16.7,5-Bromonicotinamide,others, Organic compounds,
C[C@H]1C[C@H](N[C@@H]1C(O)=O)N(C)O,170,5-(Hydroxy-Methyl-Amino)-3-Methyl-Pyrrolidine-2-Carboxylic Acid,others, Organic compounds,
OC(=O)CCCCCC(O)=O,13.3,Pimelic Acid,others, Organic compounds,
N[C@@H](CC(=O)OP(O)(O)=O)C(O)=O,13.2,Phosphoaspartate,others, Organic compounds,
[H][C@@](CCCC)(NC(=O)OCC1(CC2=CC=C(F)C=C2)CCC1)C(=O)C(=O)NC1=CC=NN1,0.00446,[1-(4-Fluorobenzyl)Cyclobutyl]Methyl (1s)-1-[Oxo(1h-Pyrazol-5-Ylamino)Acetyl]Pentylcarbamate,others, Organic compounds,
C[C@](CO)(OP(O)(O)=O)[C@@H](O)CO[P@](O)(=O)O[P@@](O)(=O)OC[C@@H]1O[C@H]([C@H](O)[C@H]1O)N1C=CC(N)=NC1=O,15.1,4-Diphosphocytidyl-2-C-Methyl-D-Erythritol 2-Phosphate,others, Organic compounds,
NC1=NC=NC2=C1N=CN2[C@H]1O[C@H](CO[P@@](O)(=O)O[P@](O)(=O)OP(O)(O)=O)C[C@@H]1O,3.83,Cordycepin Triphosphate,others, Organic compounds,
OC[C@@H]1O[C@H](O[P@](O)(=O)O[P@@](O)(=O)OC[C@@H]2O[C@H]([C@H](O)[C@H]2O)N2C=CC(=O)NC2=O)[C@@H](O)[C@H](O)[C@H]1O,15,"Glucose-Uridine-C1,5'-Diphosphate",Standardized Chemical Allergen,Standardized Chemical Allergen,
CC(C)S[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,128,1-(Isopropylthio)-Beta-Galactopyranside,others, Organic compounds,
O[C@H]1[C@H](OP(O)(O)=O)[C@@H](O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H]1OP(O)(O)=O,11.5,"Inositol 1,3,4,5-Tetrakisphosphate",others, Organic compounds,
NC1=NC2=C(N=CN2[C@@H]2O[C@@H](CO[P@](O)(=O)O[P@@](O)(=O)OP(O)(O)=S)[C@H](O)[C@H]2O)C(=O)N1,7.89,5'-Guanosine-Diphosphate-Monothiophosphate,others, Organic compounds,
CN(CC1=CC2=C(C=CC=C2)N1C)C(=O)\C=C\C1=CN=C(N)C=C1,0.0321,3-(6-Aminopyridin-3-Yl)-N-Methyl-N-[(1-Methyl-1h-Indol-2-Yl)Methyl]Acrylamide,others, Organic compounds,
[H][C@](C(O)=O)(C1=CC=CC=C1)S(O)(=O)=O,2.41,RU79256,others, Organic compounds,
C[C@@H](NC(=O)CCCC[C@@H](NC(=O)C[NH3+])C([O-])=O)P([O-])=O,3.71,Glycyl-L-a-Aminopimelyl-E-(D-2-Aminoethyl)Phosphonate,others, Organic compounds,
OC[C@H]1O[C@@H](S)[C@H](O)[C@@H](O)[C@@H]1S,8.09,"1,4-Dithio-Alpha-D-Mannose",others, Organic compounds,
[H][C@@](CC1=CC=CC=C1)(NC(=O)[C@]([H])(CC1=CC=CC=C1)NC(=O)OCC1=CC=CC=C1)C(=O)CO,0.00155,[1-(1-Benzyl-3-Hydroxy-2-Oxo-Propylcarbamoyl)-2-Phenyl-Ethyl]-Carbamic Acid Benzyl Ester,others, Carbamate,
CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](OS(O)(=O)=O)[C@@H]1O,42.9,Acetylgalactosamine-4-Sulfate,others, Amino sugar,
C[C@H]1CCC\C(C)=C/C[C@@H](OC(=O)C[C@@H](O)C(C)(C)C(=O)[C@@H](C)[C@@H]1O)C(\C)=C\C1=CSC(C)=N1,0.00246,Epothilone D,others, Antineoplastic agent,
CN1[C@H]2CC[C@@H]1CC(=O)C2,541,Tropinone,others, Alkaloid,
CON[C@H]1C[C@@H](N(C1)S(=O)(=O)C1=CC=C(OC)C=C1)C(=O)NO,2.32,"N-Hydroxy 1n(4-Methoxyphenyl)Sulfonyl-4-(Z,E-N-Methoxyimino)Pyrrolidine-2r-Carboxamide",others, Protease inhibitor,
O=C(C1=CC=CC=C1)C1=CC=CC=C1,0.0401,Benzophenone,others, Aromatic ketone,
CN([C@H](CC(O)=O)C(O)=O)C(=O)C1=CC(OS(=O)(=O)C2=CC=C3C=CC=CC3=C2)=CC=C1NS(=O)(=O)C1=CC=C2C=CC=CC2=C1,0.000444,(S)-2-{Methyl-[2-(Naphthalene-2-Sulfonylamino)-5-(Naphthalene-2-Sulfonyloxy)-Benzoyl]-Amino}-Succinicacid,others, Antineoplastic agent,
OC(=O)\C=C\C1=CC(O)=C(O)C=C1,1.61,"3,4-Dihydroxycinnamic Acid",others, Cinnamic acid derivative,
C[C@H](O)C[C@@](C)(O)CO,440,"2-Methylpentane-1,2,4-Triol",others, Alcohol,
[H][C@](N)(CCSC)C(O)(O)C1=CC=CC=N1,9.28,"(2s)-2-Amino-4-(Methylsulfanyl)-1-Pyridin-2-Ylbutane-1,1-Diol",others, Adrenergic agonist,
[H][C@@](CCSC)(NC(=O)[C@]1([H])CCCN1C(=O)[C@]([H])(CC1=CC=C(O)C=C1)NC(=O)CS)C(N)=O,0.0197,N-(Sulfanylacetyl)Tyrosylprolylmethioninamide,others, Peptide derivative,
[H][C@](N)(C(C)C)C(=O)N1CCCC1,244,2-Amino-3-Methyl-1-Pyrrolidin-1-Yl-Butan-1-One,others, Pyrrolidine derivative,
OC[C@H]1OC(=O)[C@@H](O)[C@@H](O)[C@@H]1O,586,D-Galctopyranosyl-1-On,others, Monosaccharide,
OC[C@H]1C[C@H](CO1)NC(=O)[C@@H](OCC1=CC=CC=C1)[C@H](O)[C@@H](O)[C@H](OCC1=CC=CC=C1)C(=O)N[C@H]1[C@H](O)CC2=CC=CC=C12,0.148,Inhibitor BEA369,Non-Standardized Fungal Allergenic Extract,Non-Standardized Fungal Allergenic Extract,
CC(C)C1=C2N=C(N[C@H]3CC[C@H](N)CC3)C=C(NC3=CC=C(C=C3)S(=O)(=O)N(C)C)N2N=C1,0.00934,"4-[5-(Trans-4-Aminocyclohexylamino)-3-Isopropylpyrazolo[1,5-a]Pyrimidin-7-Ylamino]-N,N-Dimethylbenzenesulfonamide",others, Protein kinase inhibitor,
[H][C@@]12CC=C[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@]([H])(O)CC[C@]12C,0.000355,"16,17-Androstene-3-Ol",others, Steroid,
C[C@H](CCC(=O)N(CCCNC(=O)[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)CCCNC(=O)[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)[C@@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3C[C@@H](O)[C@]12C,0.361,Deoxy-Bigchap,others, Peptide derivative,
[H][C@@](CO)(CC1=CC=CC=C1)NC(=O)[C@@]([H])(NC(=O)[C@]([H])(C)NC(=O)OCC1=CC=CC=C1)C(C)C,0.00941,Tl-3-093,others, Substance P antagonist,
CC(C)C(=O)C12C(O)=C(CC=C(C)C)C(=O)C(CC=C(C)C)(CC(CC=C(C)C)C1(C)CCC=C(C)C)C2=O,0.000632,Hyperforin,others, Antidepressant,
O[C@H]1[C@H](CO[P@](O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2NCC1=CC=CC=C1,2.23,N6-Benzyl Adenosine-5'-Diphosphate,others, Nucleotide derivative,
CC(=O)N[C@H]1[C@H](O)C[C@](O)(O[C@@H]1[C@@H](O)[C@@H](O)CO)C(O)=O,227,5-N-Acetyl-Alpha-D-Neuraminic Acid,others, Sialic acid derivative,
N[C@@H](CC(O)=O)C(=O)O[P@@](O)(=O)OC[C@@H]1O[C@H]([C@H](O)[C@H]1O)N1C=NC2=C1N=CN=C2N,2.59,Aspartyl-Adenosine-5'-Monophosphate,others, Nucleotide derivative,
NC1=CC=CC(=C1)B(O)O,2.53,M-Aminophenylboronic Acid,others, Boronic acid derivative,
O=C1NNC(=O)C2=CC(=CC=C12)[N+]1=NC(\C=C\C2=CC=CC=C2)=NN1C1=NC2=C(S1)C=CC=C2,0.00281,2-(2f-Benzothiazolyl)-5-Styryl-3-(4f-Phthalhydrazidyl)Tetrazolium Chloride,Non-Standardized Chemical Allergen,Non-Standardized Chemical Allergen,
C[C@@H](CC(O)=O)[C@@H](N)C(O)=O,38.1,"2s,3r-2-Amino-3-Methylpentanedioic Acid",others, Amino acid derivative,
N[C@@H](CC1=C[NH+]=CN1P(O)(O)=O)C(O)=O,1.79,Nd1-Phosphonohistidine,others, Amino acid derivative,
OS(=O)(=O)OC[C@@H]1O[C@](COS(O)(=O)=O)(O[C@H]2O[C@H](COS(O)(=O)=O)[C@H](OS(O)(=O)=O)[C@H](OS(O)(=O)=O)[C@H]2OS(O)(=O)=O)[C@H](OS(O)(=O)=O)[C@@H]1OS(O)(=O)=O,1.45,Sucrose Octasulfate,Parenteral Iron Replacement,Parenteral Iron Replacement,
CCN1C(=O)CCC1=O,615,"1-Ethyl-Pyrrolidine-2,5-Dione",others, Pyrrolidine derivative,
O[C@@H]1C[C@@H](O[C@H]1COP(O)(O)=O)N1C=C(Br)C(=O)NC1=O,7.54,5-Bromo-2'-Deoxyuridine-5'-Monophosphate,others, Nucleotide derivative,
OC[C@H](O)[C@@H](O)[C@H](O)CO,664,D-Xylitol,others, Sugar alcohol,
COC1=CC=C(O)C(=C1)C1=NC2=C(N1)C=CC(=C2)C(N)=[NH2+],0.0802,2-(2-Hydroxy-5-Methoxy-Phenyl)-1h-Benzoimidazole-5-Carboxamidine,others, Benzoimidazole derivative,
NC1=NC2=NN(N=C2C(O)=N1)C1=CC(=CC=C1)C(O)=O,2.83,"3-(5-Amino-7-Hydroxy-[1,2,3]Triazolo[4,5-D]Pyrimidin-2-Yl)-Benzoic Acid",others, Nucleotide derivative,
CC(=O)N[C@@H](CC1=CC=C(OCC(O)=O)C(=C1)P(O)(O)=O)C(=O)N[C@@H]1CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O,0.00116,RU85493,others, Protein kinase inhibitor,
OC[C@H]1O[C@H]2O[C@@H]3[C@H](CO)O[C@@H](O[C@@H]4[C@H](CO)O[C@@H](O[C@@H]5[C@H](CO)O[C@@H](O[C@@H]6[C@H](CO)O[C@@H](O[C@@H]7[C@H](CO)O[C@@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,792,Alpha-Cyclodextrin (Cyclohexa-Amylose),others, Cyclic oligosaccharide,
N[C@H](CC[C@@H](N)C(O)=O)C[C@@H]1O[C@H]([C@H](O)[C@H]1O)N1C=NC2=C1N=CN=C2N,4.63,Adenosyl-Ornithine,others, Adenosine derivative,
CCC1=C(C)C2=CC3=C(CC)C(C)=C(C=C4N=C(C=C5N\C(=C/C1=N2)C(C)=C5CCC(O)=O)C(CCC(O)=O)=C4C)N3C,0.0383,N-Methylmesoporphyrin,others, Porphyrin derivative,
OC[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)C=O,261,D-Glucose in Linear Form,others, Monosaccharide,
N[C@@H](CSO)C(O)=O,342,S-Hydroxycysteine,others, Dietary Supplement,
NCCCCN,236,Putrescine,others, Organic compound,
C[Te]CC([O-])=O,116,[Methyltelluro]Acetate,others, Organic compound,
CCCCC=O,14.8,Pentanal,others, Organic compound,
OC[C@@H]1O[C@H](OC2=CC=CC=C2[N+]([O-])=O)[C@@H](O)[C@H](O)[C@H]1O,20.6,1-O-[O-Nitrophenyl]-Beta-D-Galactopyranose,others, Organic compound,
O\N=C1/NC[C@@H](O)[C@H](O)[C@H]1O,76.7,Xylose-Derived Lactam Oxime,others, Organic compound,
OC[C@H]1N\C(=N/O)[C@@H](O)[C@@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O,194,"Maltosyl-Alpha (1,4)-D-Gluconhydroximo-1,5-Lactam",others, Organic compound,
C[C@@H](O)[C@@H](O)[C@H](O)COP(O)(O)=O,32.6,L-Xylulose 5-Phosphate,others, Organic compound,
ONC(=O)C1=CC=CC=C1,4.57,Benzhydroxamic Acid,others, Organic compound,
OC1=CC=CC(=C1O)C1=C(Cl)C=CC=C1,0.105,"2'-Chloro-Biphenyl-2,3-Diol",others, Organic compound,
C[C@H]1C[C@H](O)N[C@@H]2CCCCN(O[Fe@@]34O[C@@H](\C=C\CCCCCCC(O)=O)[N@](CCCC[C@H](NC(=O)[C@H]5COC(=N5)C5=CC=CC=C5O3)C(=O)O1)O4)C2=O,0.103,Carboxymycobactin S,others, Organic compound,
CC1=C(C)C(=O)C(C)=C(C)C1=O,1.69,Duroquinone,others, Organic compound,
[H][C@@]12CC3=C(C=CC(=O)N3)[C@@](N)(CC(C)=C1)\C2=C\C,0.166,Huperaine A,others, Alkaloid,
CC(C)(CO)[C@@H](O)C([O-])=O,473,"2,4-Dihydroxy-3,3-Dimethyl-Butyrate",others, Organic compound,
OC(=O)C1=NC2=CC(Cl)=CC(Cl)=C2C(O)=C1,0.156,"Dcka, 5,7-Dichlorokynurenic Acid",others, Organic compound,
CN[C@@H]1C[C@@H]2O[C@](C)([C@@H]1OC)N1C3=C(C=CC=C3)C3=C1C1=C(C4=C(C=CC=C4)N21)C1=C3[C@H](O)NC1=O,0.0789,7-Hydroxystaurosporine,others, Organic compound,
CC(C)CCCCCCCCC(=O)N(C)[C@H](CO)C(=O)N[C@H](C)C(=O)NCC(=O)N(C)[C@H]1C2=CC=C(O)C(=C2)C2=CC(C[C@H](NC(=O)[C@@H](C)NC1=O)C(O)=O)=CC=C2O,0.00815,"N-Methyl-N-(10-Methylundecanoyl)-D-Seryl-L-Alanyl-N~1~-[(7s,10s,13s)-13-Carboxy-3,18-Dihydroxy-10-Methyl-8,11-Dioxo-9,12-Diazatricyclo[13.3.1.1~2,6~]Icosa-1(19),2(20),3,5,15,17-Hexaen-7-Yl]-N~1~-Methylglycinamide",others, Organic compound,
[H][C@](CS)(CC1=CC=CC=C1)NC(=O)CC(O)=O,0.412,3-{[(1r)-1-Benzyl-2-Sulfanylethyl]Amino}-3-Oxopropanoic Acid,others, Organic compound,
OC[C@H]1O[C@H](O)[C@@H](O)[C@@H]1O,1070,Ribose,others, Carbohydrate,
NC1=NC2=C(N=CN2[C@@H]2O[C@@H](CO)[C@H](O)[C@H]2OP(O)(O)=O)C(=O)N1,3.56,Guanosine-2'-Monophosphate,others, Nucleotide,
[H][C@@](N)(CC1=CN=CN1)C(=O)NC1=CC=C2C=CC=CC2=C1,0.104,L-Histidine Beta Naphthylamide,others, Organic compound,
NC(=[NH2+])C1=CC2=C(C=C1)N=CN2,1.86,5-Amidino-Benzimidazole,others, Organic compound,
OC1=CC=C(C=C1)C(=O)N[C@H]1CNCCC[C@H]1OC(=O)C1=CC=C(C=C1)C(=O)C1=CC=CC=C1O,0.00395,Balanol Analog 2,others, Organic compound,
CC1=CC2=C(C=C1C1(CC1)C1=CC=C(C=N1)C(O)=O)C(C)(C)CCC2(C)C,0.000302,"6-[1-(3,5,5,8,8-Pentamethyl-5,6,7,8-Tetrahydronaphthalen-2-Yl)Cyclopropyl]Pyridine-3-Carboxylic Acid",others, Organic compound,
OC=O,477,Formic Acid,others, Organic acid,
CC1=CC=C2N=C3N(CC[C@@]3(O)C(=O)C2=C1)C1=CC=CC=C1,0.198,(S)-blebbistatin,others, Organic compound,
NC(=O)C1=C([O-])N(C[NH2+]1)[C@@H]1O[C@@H](COP([O-])([O-])=O)[C@H](O)[C@H]1O,40.7,4-Carbamoyl-1-Beta-D-Ribofuranosyl-Imidazolium-5-Olate-5'-Phosphate,Barbiturate,Barbiturate,
CN1C=C(C2=CC=CC=C12)C1=C(C(=O)NC1=O)C1=CN(CCCN)C2=C1C=CC=C2,0.0318,"3-[1-(3-Aminopropyl)-1h-Indol-3-Yl]-4-(1-Methyl-1h-Indol-3-Yl)-1h-Pyrrole-2,5-Dione",others, Organic compound,
OP(O)(=O)OC1=C(C=O)C=CC=C1,4.44,RU78262,others, Organic compound,
FC1=CC=C(C(F)=C1)C1=CC(=CC2=C1CCC(=O)N2C1=C(Cl)C=CC=C1Cl)C1CCNCC1,0.000122,"1-(2,6-Dichlorophenyl)-5-(2,4-Difluorophenyl)-7-Piperidin-4-Yl-3,4-Dihydroquinolin-2(1h)-One",others, Organic compound,
CNC(=O)[C@@H](N)C(C)(C)C,73.3,"2-Amino-N,3,3-Trimethylbutanamide",others, Organic compound,
COC1=CC=C(CNC(=O)NC2=NC=C(S2)[N+]([O-])=O)C=C1,0.0119,"N-(4-Methoxybenzyl)-N'-(5-Nitro-1,3-Thiazol-2-Yl)Urea",others, Organic compound,
[H][C@]1(CCCN1C(=O)C(=O)C(C)(C)CC)C(=O)OCCCC1=CN=CC=C1,0.332,Gpi-1046,others, Organic compound,
C(CC1=CC=NC=C1)C1=CNC2=CC=CC=C12,0.00869,Inhibitor of P38 Kinase,others, Enzyme inhibitor,
[H][C@]1(CNC(=O)C1)C1=CC(OC2CCCC2)=C(OC)C=C1,0.0672,4-[3-(Cyclopentyloxy)-4-Methoxyphenyl]-2-Pyrrolidinone,others, Organic compound,
OCCCCO,675,"1,4-Butanediol",others, Organic compound,
NCCS(O)(=O)=O,105,2-Aminoethanesulfonic Acid,others, amino acid,
OC1=CC=CC(Cl)=C1,14.6,3-Chlorophenol,others, organic compound,
CC(C)(C)C1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,0.00278,"5-[4-Tert-Butylphenylsulfanyl]-2,4-Quinazolinediamine",others, organic compound,
CCOC(=O)C1=C(C)N(N=C1C)C1=CC(=CC=C1)[N+]([O-])=O,0.106,"3,5-Dimethyl-1-(3-Nitrophenyl)-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester",others, organic compound,
CN1CN([C@@H]2O[C@@H](CO[P@](O)(=O)OP(O)(O)=O)[C@H](O)[C@H]2O)C2=C1C(=O)NC(N)=N2,7.91,7n-Methyl-8-Hydroguanosine-5'-Diphosphate,others, organic compound,
NC1=NC(=O)N(C=C1)[C@@H]1O[C@@H](CO)[C@H](OP(O)(O)=O)[C@H]1O,17.6,Cytidine-3'-Monophosphate,others, nucleotide,
N[C@@H](CC1=CC=C(OP(O)(O)=O)C=C1)C(O)=O,1.93,Phosphonotyrosine,others, organic compound,
OB(O)CCC1=CC=CC=C1,1.82,Phenylethane Boronic Acid,others, organic compound,
[H][C@]1(O)CN(C2=CC=C(OC)C=C2)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O,0.519,AL5424,others, organic compound,
O[C@@H]1C[C@@H](O[C@H]1CO[P@@](O)(=O)N[P@](O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O,8.34,"2'-Deoxyuridine 5'-Alpha,Beta-Imido-Triphosphate",others, nucleotide,
